刊物名称,刊物全称,出版社,地址,等级,期刊/会议,类别
,"Journal of Software: Evolution and Process","Wiley",http://dblp.uni-trier.de/db/journals/smr/,B,Journal,4
JSS,"Journal of Systems and Software","Elsevier",http://dblp.uni-trier.de/db/journals/jss/,B,Journal,4
RE,"Requirements Engineering","Springer",http://dblp.uni-trier.de/db/journals/re/,B,Journal,4
SCP,"Science of Computer Programming","Elsevier",http://dblp.uni-trier.de/db/journals/scp/,B,Journal,4
SoSyM,"Software and Systems Modeling","Springer",http://dblp.uni-trier.de/db/journals/sosym/,B,Journal,4
STVR,"Software Testing, Verification and Reliability","Wiley",http://dblp.uni-trier.de/db/journals/stvr/index.html,B,Journal,4
SPE,"Software: Practice and Experience","Wiley",http://dblp.uni-trier.de/db/journals/spe/,B,Journal,4
CL,"Computer Languages, Systems and Structures","Elsevier",http://dblp.uni-trier.de/db/journals/cl/index.html,C,Journal,4
IJSEKE,"International Journal of Software Engineering and Knowledge Engineering","World Scientific",http://dblp.uni-trier.de/db/journals/ijseke/index.html,C,Journal,4
STTT,"International Journal of Software Tools for Transfer Technology","Springer",http://dblp.uni-trier.de/db/journals/sttt/,C,Journal,4
JLAMP,"Journal of Logical and Algebraic Methods in Programming","Elsevier",https://dblp.uni-trier.de/db/journals/jlap/index.html,C,Journal,4
JWE,"Journal of Web Engineering","Rinton Press",http://dblp.uni-trier.de/db/journals/jwe/,C,Journal,4
SOCA,"Service Oriented Computing and Applications","Springer",http://dblp.uni-trier.de/db/journals/soca/,C,Journal,4
SQJ,"Software Quality Journal","Springer",http://dblp.uni-trier.de/db/journals/sqj/,C,Journal,4
TPLP,"Theory and Practice of Logic Programming","Cambridge University Press",http://dblp.uni-trier.de/db/journals/tplp/,C,Journal,4
PACM PL,"Proceedings of the ACM on Programming Languages","ACM",https://dblp.org/db/journals/pacmpl/index.htm,C,Journal,4
PLDI,"ACM SIGPLAN Conference on Programming Language Design and Implementation","ACM",http://dblp.uni-trier.de/db/conf/pldi/,A,Conference,4
POPL,"ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages","ACM",http://dblp.uni-trier.de/db/conf/popl/,A,Conference,4
FSE/ESEC,"ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering","ACM",http://dblp.uni-trier.de/db/conf/sigsoft/,A,Conference,4
SOSP,"ACM Symposium on Operating Systems Principles","ACM",http://dblp.uni-trier.de/db/conf/sosp/,A,Conference,4
OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications","ACM",http://dblp.uni-trier.de/db/conf/oopsla/,A,Conference,4
ASE,"International Conference on Automated Software Engineering","IEEE/ACM",http://dblp.uni-trier.de/db/conf/kbse/,A,Conference,4
ICSE,"International Conference on Software Engineering","ACM/IEEE",http://dblp.uni-trier.de/db/conf/icse/,A,Conference,4
ISSTA,"International Symposium on Software Testing and Analysis","ACM",http://dblp.uni-trier.de/db/conf/issta/,A,Conference,4
OSDI,"USENIX Symposium on Operating Systems Design and Implementation","USENIX",http://dblp.uni-trier.de/db/conf/osdi/,A,Conference,4
FM,"International Symposium on Formal Methods","FME",http://dblp.uni-trier.de/db/conf/fm/,A,Conference,4
ECOOP,"European Conference on Object-Oriented Programming","AITO",http://dblp.uni-trier.de/db/conf/ecoop/,B,Conference,4
ETAPS,"European Joint Conferences on Theory and Practice of Software","Springer",http://dblp.uni-trier.de/db/conf/etaps/,B,Conference,4
ICPC,"IEEE International Conference on Program Comprehension","IEEE",http://dblp.uni-trier.de/db/conf/iwpc/,B,Conference,4
RE,"IEEE International Requirements Engineering Conference","IEEE",http://dblp.uni-trier.de/db/conf/re/,B,Conference,4
CAiSE,"International Conference on Advanced Information Systems Engineering","Springer",http://dblp.uni-trier.de/db/conf/caise/,B,Conference,4
ICFP,"ACM SIGPLAN International Conference on Function Programming","ACM",http://dblp.uni-trier.de/db/conf/icfp/,B,Conference,4
LCTES,"ACM SIGPLAN/SIGBED International Conference on Languages, Compilers and Tools for Embedded Systems","ACM",http://dblp.uni-trier.de/db/conf/lctrts/,B,Conference,4
MoDELS,"ACM/IEEE International Conference on Model Driven Engineering Languages and Systems","ACM, IEEE",http://dblp.uni-trier.de/db/conf/models/,B,Conference,4
CP,"International Conference on Principles and Practice of Constraint Programming","Springer",http://dblp.uni-trier.de/db/conf/cp/,B,Conference,4
ICSOC,"International Conference on Service Oriented Computing","Springer",http://dblp.uni-trier.de/db/conf/icsoc/,B,Conference,4
SANER,"IEEE International Conference on Software Analysis, Evolution, and Reengineering","IEEE",http://dblp.uni-trier.de/db/conf/wcre/,B,Conference,4
ICSME,"International Conference on Software Maintenance and Evolution","IEEE",http://dblp.uni-trier.de/db/conf/icsm/,B,Conference,4
VMCAI,"International Conference on Verification, Model Checking and Abstract Interpretation","Springer",http://dblp.uni-trier.de/db/conf/vmcai/,B,Conference,4
ICWS,"IEEE International Conference on Web Services","IEEE",http://dblp.uni-trier.de/db/conf/icws/,B,Conference,4
Middleware,"International Middleware Conference","ACM/IFIP/USENIX",http://dblp.uni-trier.de/db/conf/middleware/,B,Conference,4
SAS,"International Static Analysis Symposium","Springer",http://dblp.uni-trier.de/db/conf/sas/,B,Conference,4
ESEM,"International Symposium on Empirical Software Engineering and Measurement","ACM/IEEE",http://dblp.uni-trier.de/db/conf/esem/,B,Conference,4
ISSRE,"IEEE International Symposium on Software Reliability Engineering","IEEE",http://dblp.uni-trier.de/db/conf/issre/,B,Conference,4
HotOS,"USENIX Workshop on Hot Topics in Operating Systems","USENIX",http://dblp.uni-trier.de/db/conf/hotos/,B,Conference,4
PEPM,"ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation","ACM",http://dblp.uni-trier.de/db/conf/pepm/,C,Conference,4
PASTE,"ACM SIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering","ACM",http://dblp.uni-trier.de/db/conf/paste/,C,Conference,4
APLAS,"Asian Symposium on Programming Languages and Systems","Springer",http://dblp.uni-trier.de/db/conf/aplas/,C,Conference,4
APSEC,"Asia-Pacific Software Engineering Conference","IEEE",http://dblp.uni-trier.de/db/conf/apsec/,C,Conference,4
EASE,"International Conference on Evaluation and Assessment in Software Engineering","ACM",http://dblp.uni-trier.de/db/conf/ease/,C,Conference,4
ICECCS,"International Conference on Engineering of Complex Computer Systems","IEEE",http://dblp.uni-trier.de/db/conf/iceccs/,C,Conference,4
ICST,"IEEE International Conference on Software Testing, Verification and Validation","IEEE",http://dblp.uni-trier.de/db/conf/icst/,C,Conference,4
ISPASS,"IEEE International Symposium on Performance Analysis of Systems and Software","IEEE",http://dblp.uni-trier.de/db/conf/ispass/,C,Conference,4
SCAM,"IEEE International Working Conference on Source Code Analysis and Manipulation","IEEE",http://dblp.uni-trier.de/db/conf/scam/,C,Conference,4
COMPSAC,"International Computer Software and Applications Conference","IEEE",http://dblp.uni-trier.de/db/conf/compsac/,C,Conference,4
ICFEM,"International Conference on Formal Engineering Methods","Springer",http://dblp.uni-trier.de/db/conf/icfem/,C,Conference,4
TOOLS,"International Conference on Objects, Models, Components, Patterns（2019年停办）","Springer",http://dblp.uni-trier.de/db/conf/tools/index.html,C,Conference,4
SCC,"IEEE International Conference on Services Computing","IEEE",http://dblp.uni-trier.de/db/conf/IEEEscc/,C,Conference,4
ICSSP,"International Conference on Software and System Process","ACM",http://dblp.uni-trier.de/db/conf/ispw/,C,Conference,4
SEKE,"International Conference on Knowledge Software Engineering and Engineering","KSI",http://dblp.uni-trier.de/db/conf/seke/,C,Conference,4
QRS,"International Conference on Software Quality, Reliability and Security","IEEE",https://dblp.uni-trier.de/db/conf/qrs/,C,Conference,4
ICSR,"International Conference on Software Reuse","Springer",http://dblp.uni-trier.de/db/conf/icsr/,C,Conference,4
ICWE,"International Conference on Web Engineering","Springer",http://dblp.uni-trier.de/db/conf/icwe/,C,Conference,4
SPIN,"International Symposium on Model Checking of Software","Springer",http://dblp.uni-trier.de/db/conf/spin/index.html,C,Conference,4
ATVA,"International Symposium on Automated Technology for Verification and Analysis","Springer",http://dblp.uni-trier.de/db/conf/atva/,C,Conference,4
LOPSTR,"International Symposium on Logic-based Program Synthesis and Transformation","Springer",http://dblp.uni-trier.de/db/conf/lopstr/,C,Conference,4
TASE,"Theoretical Aspects of Software Engineering Conference","IEEE",http://dblp.uni-trier.de/db/conf/tase/,C,Conference,4
MSR,"Mining Software Repositories","IEEE/ACM",http://dblp.uni-trier.de/db/conf/msr/,C,Conference,4
REFSQ,"Requirements Engineering: Foundation for Software Quality","Springer",http://dblp.uni-trier.de/db/conf/refsq/,C,Conference,4
WICSA,"Working IEEE/IFIP Conference on Software Architecture","IEEE",http://dblp.uni-trier.de/db/conf/wicsa/,C,Conference,4
Internetware,"Asia-Pacific Symposium on Internetware","ACM",https://dblp.org/db/conf/internetware/index.html,C,Conference,4
RV,"International Conference on Runtime Verification","Springer",https://dblp.uni-trier.de/db/conf/rv/index.html,C,Conference,4
TODS,"ACM Transactions on Database Systems","ACM",http://dblp.uni-trier.de/db/journals/tods/,A,Journal,4
TOIS,"ACM Transactions on Information Systems","ACM",http://dblp.uni-trier.de/db/journals/tois/,A,Journal,4
TKDE,"IEEE Transactions on Knowledge and Data Engineering","IEEE",http://dblp.uni-trier.de/db/journals/tkde/,A,Journal,4
VLDBJ,"The VLDB Journal","Springer",http://dblp.uni-trier.de/db/journals/vldb/,A,Journal,4
TKDD,"ACM Transactions on Knowledge Discovery from Data","ACM",http://dblp.uni-trier.de/db/journals/tkdd/,B,Journal,4
TWEB,"ACM Transactions on the Web","ACM",http://dblp.uni-trier.de/db/journals/tweb/,B,Journal,4
AEI,"Advanced Engineering Informatics","Elsevier",http://dblp.uni-trier.de/db/journals/aei/,B,Journal,4
DKE,"Data & Knowledge Engineering","Elsevier",http://dblp.uni-trier.de/db/journals/dke/,B,Journal,4
DMKD,"Data Mining and Knowledge Discovery","Springer",http://dblp.uni-trier.de/db/journals/datamine/,B,Journal,4
EJIS,"European Journal of Information Systems","Springer",http://dblp.uni-trier.de/db/journals/ejis/,B,Journal,4
,"GeoInformatica","Springer",http://dblp.uni-trier.de/db/journals/geoinformatica/,B,Journal,4
IPM,"Information Processing and Management","Elsevier",http://dblp.uni-trier.de/db/journals/ipm/,B,Journal,4
,"Information Sciences","Elsevier",http://dblp.uni-trier.de/db/journals/isci/,B,Journal,4
IS,"Information Systems","Elsevier",http://dblp.uni-trier.de/db/journals/is/,B,Journal,4
JASIST,"Journal of the Association for Information Science and Technology","Wiley",http://dblp.uni-trier.de/db/journals/jasis/,B,Journal,4
JWS,"Journal of Web Semantics","Elsevier",http://dblp.uni-trier.de/db/journals/ws/,B,Journal,4
KAIS,"Knowledge and Information Systems","Springer",http://dblp.uni-trier.de/db/journals/kais/,B,Journal,4
DPD,"Distributed and Parallel Databases","Springer",http://dblp.uni-trier.de/db/journals/dpd/,C,Journal,4
I&M,"Information & Management","Elsevier",http://dblp.uni-trier.de/db/journals/iam/,C,Journal,4
IPL,"Information Processing Letters","Elsevier",http://dblp.uni-trier.de/db/journals/ipl/,C,Journal,4
IR,"Information Retrieval Journal","Springer",http://dblp.uni-trier.de/db/journals/ir/,C,Journal,4
IJCIS,"International Journal of Cooperative Information Systems","World Scientific",http://dblp.uni-trier.de/db/journals/ijcis/,C,Journal,4
IJGIS,"International Journal of Geographical Information Science","Taylor & Francis",http://dblp.uni-trier.de/db/journals/gis/,C,Journal,4
IJIS,"International Journal of Intelligent Systems","Wiley",http://dblp.uni-trier.de/db/journals/ijis/,C,Journal,4
IJKM,"International Journal of Knowledge Management","IGI",http://dblp.uni-trier.de/db/journals/ijkm/,C,Journal,4
IJSWIS,"International Journal on Semantic Web and Information Systems","IGI",http://dblp.uni-trier.de/db/journals/ijswis/,C,Journal,4
JCIS,"Journal of Computer Information Systems","IACIS",http://dblp.uni-trier.de/db/journals/jcis/,C,Journal,4
JDM,"Journal of Database Management","IGI-Global",http://dblp.uni-trier.de/db/journals/jdm/,C,Journal,4
JGITM,"Journal of Global Information Technology Management","Ivy League Publishing",https://dblp.org/db/journals/jgim/index.html,C,Journal,4
JIIS,"Journal of Intelligent Information Systems","Springer",http://dblp.uni-trier.de/db/journals/jiis/,C,Journal,4
JSIS,"The Journal of Strategic Information Systems","Elsevier",http://dblp.uni-trier.de/db/journals/jsis/,C,Journal,4
DSE,"Data Science and Engineering","CCF",https://dblp.org/db/journals/dase/index.html,C,Journal,4
SIGMOD,"ACM SIGMOD Conference","ACM",http://dblp.uni-trier.de/db/conf/sigmod/,A,Conference,4
SIGKDD,"ACM SIGKDD Conference on Knowledge Discovery and Data Mining","ACM",http://dblp.uni-trier.de/db/conf/kdd/,A,Conference,4
ICDE,"IEEE International Conference on Data Engineering","IEEE",http://dblp.uni-trier.de/db/conf/icde/,A,Conference,4
SIGIR,"International ACM SIGIR Conference on Research and Development in Information Retrieval","ACM",http://dblp.uni-trier.de/db/conf/sigir/,A,Conference,4
VLDB,"International Conference on Very Large Data Bases","Morgan Kaufmann/ACM",http://dblp.uni-trier.de/db/conf/vldb/,A,Conference,4
CIKM,"ACM International Conference on Information and Knowledge Management","ACM",http://dblp.uni-trier.de/db/conf/cikm/,B,Conference,4
WSDM,"ACM International Conference on Web Search and Data Mining","ACM",http://dblp.uni-trier.de/db/conf/wsdm/,B,Conference,4
PODS,"ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems","ACM",http://dblp.uni-trier.de/db/conf/pods/,B,Conference,4
DASFAA,"International Conference on Database Systems for Advanced Applications","Springer",http://dblp.uni-trier.de/db/conf/dasfaa/,B,Conference,4
ECML-PKDD,"European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases","Springer",http://dblp.uni-trier.de/db/conf/ecml/,B,Conference,4
ISWC,"IEEE International Semantic Web Conference","IEEE",http://dblp.uni-trier.de/db/conf/semweb/,B,Conference,4
ICDM,"IEEE International Conference on Data Mining","IEEE",http://dblp.uni-trier.de/db/conf/icdm/,B,Conference,4
ICDT,"International Conference on Database Theory","Springer",http://dblp.uni-trier.de/db/conf/icdt/,B,Conference,4
EDBT,"International Conference on Extending Database Technology","Springer",http://dblp.uni-trier.de/db/conf/edbt/,B,Conference,4
CIDR,"Conference on Innovative Data Systems Research","Online Proceeding",http://dblp.uni-trier.de/db/conf/cidr/,B,Conference,4
SDM,"SIAM International Conference on Data Mining","SIAM",http://dblp.uni-trier.de/db/conf/sdm/,B,Conference,4
RecSys,"ACM Conference on Recommender Systems","ACM",https://dblp.org/db/conf/recsys/index.html,B,Conference,4
APWeb,"Asia Pacific Web Conference","Springer",http://dblp.uni-trier.de/db/conf/apweb/,C,Conference,4
DEXA,"International Conference on Database and Expert System Applications","Springer",http://dblp.uni-trier.de/db/conf/dexa/,C,Conference,4
ECIR,"European Conference on Information Retrieval","Springer",http://dblp.uni-trier.de/db/conf/ecir/,C,Conference,4
ESWC,"Extended Semantic Web Conference","Springer",http://dblp.uni-trier.de/db/conf/esws/,C,Conference,4
WebDB,"International Workshop on Web and Databases","ACM",http://dblp.uni-trier.de/db/conf/webdb/,C,Conference,4
ER,"International Conference on Conceptual Modeling","Springer",http://dblp.uni-trier.de/db/conf/er/,C,Conference,4
MDM,"International Conference on Mobile Data Management","IEEE",http://dblp.uni-trier.de/db/conf/mdm/,C,Conference,4
SSDBM,"International Conference on Scientific and Statistical Database Management","IEEE",http://dblp.uni-trier.de/db/conf/ssdbm/,C,Conference,4
WAIM,"International Conference on Web Age Information Management","Springer",http://dblp.uni-trier.de/db/conf/waim/,C,Conference,4
SSTD,"International Symposium on Spatial and Temporal Databases","Springer",http://dblp.uni-trier.de/db/conf/ssd/,C,Conference,4
PAKDD,"Pacific-Asia Conference on Knowledge Discovery and Data Mining","Springer",http://dblp.uni-trier.de/db/conf/pakdd/,C,Conference,4
WISE,"Web Information Systems Engineering International Conference on","Springer",http://dblp.uni-trier.de/db/conf/wise/,C,Conference,4
ADMA,"Advanced Data Mining and Applications","Springer",https://dblp.org/db/conf/adma/index.html,C,Conference,4
TIT,"IEEE Transactions on Information Theory","IEEE",http://dblp.uni-trier.de/db/journals/tit/,A,Journal,6
IANDC,"Information and Computation","Elsevier",http://dblp.uni-trier.de/db/journals/iandc/,A,Journal,6
SICOMP,"SIAM Journal on Computing","SIAM",http://dblp.uni-trier.de/db/journals/siamcomp/,A,Journal,6
TALG,"ACM Transactions on Algorithms","ACM",http://dblp.uni-trier.de/db/journals/talg/,B,Journal,6
TOCL,"ACM Transactions on Computational Logic","ACM",http://dblp.uni-trier.de/db/journals/tocl/,B,Journal,6
TOMS,"ACM Transactions on Mathematical Software","ACM",http://dblp.uni-trier.de/db/journals/toms/,B,Journal,6
Algorithmica,"Algorithmica","Springer",http://dblp.uni-trier.de/db/journals/algorithmica/,B,Journal,6
CC,"Computational Complexity","Springer",http://dblp.uni-trier.de/db/journals/cc/,B,Journal,6
FAC,"Formal Aspects of Computing","Springer",http://dblp.uni-trier.de/db/journals/fac/,B,Journal,6
FMSD,"Formal Methods in System Design","Springer",http://dblp.uni-trier.de/db/journals/fmsd/,B,Journal,6
INFORMS,"INFORMS Journal on Computing","INFORMS",http://dblp.uni-trier.de/db/journals/informs/,B,Journal,6
JCSS,"Journal of Computer and System Sciences","Elsevier",http://dblp.uni-trier.de/db/journals/jcss/,B,Journal,6
JGO,"Journal of Global Optimization","Springer",http://dblp.uni-trier.de/db/journals/jgo/,B,Journal,6
JSC,"Journal of Symbolic Computation","Elsevier",http://dblp.uni-trier.de/db/journals/jsc/,B,Journal,6
MSCS,"Mathematical Structures in Computer Science","Cambridge University Press",http://dblp.uni-trier.de/db/journals/mscs/,B,Journal,6
TCS,"Theoretical Computer Science","Elsevier",http://dblp.uni-trier.de/db/journals/tcs/,B,Journal,6
ACTA,"Acta Informatica","Springer",http://dblp.uni-trier.de/db/journals/acta/,C,Journal,6
APAL,"Annals of Pure and Applied Logic","Elsevier",http://dblp.uni-trier.de/db/journals/apal/,C,Journal,6
DAM,"Discrete Applied Mathematics","Elsevier",http://dblp.uni-trier.de/db/journals/dam/,C,Journal,6
FUIN,"Fundamenta Informaticae","IOS Press",http://dblp.uni-trier.de/db/journals/fuin/,C,Journal,6
LISP,"Higher-Order and Symbolic Computation（2013年已停刊）","Springer",http://dblp.uni-trier.de/db/journals/lisp/,C,Journal,6
IPL,"Information Processing Letters","Elsevier",http://dblp.uni-trier.de/db/journals/ipl/,C,Journal,6
JCOMPLEXITY,"Journal of Complexity","Elsevier",http://dblp.uni-trier.de/db/journals/jc/,C,Journal,6
LOGCOM,"Journal of Logic and Computation","Oxford University Press",http://dblp.uni-trier.de/db/journals/logcom/,C,Journal,6
JSL,"The Journal of Symbolic Logic","Association for Symbolic Logic",http://dblp.uni-trier.de/db/journals/jsyml/,C,Journal,6
LMCS,"Logical Methods in Computer Science","LMCS",http://dblp.uni-trier.de/db/journals/lmcs/,C,Journal,6
SIDMA,"SIAM Journal on Discrete Mathematics","SIAM",http://dblp.uni-trier.de/db/journals/siamdm/,C,Journal,6
,"Theory of Computing Systems","Springer",http://dblp.uni-trier.de/db/journals/mst/,C,Journal,6
STOC,"ACM Symposium on the Theory of Computing","ACM",http://dblp.uni-trier.de/db/conf/stoc/,A,Conference,6
SODA,"ACM-SIAM Symposium on Discrete Algorithms","SIAM",http://dblp.uni-trier.de/db/conf/soda/,A,Conference,6
CAV,"International Conference on Computer Aided Verification","Springer",http://dblp.uni-trier.de/db/conf/cav/,A,Conference,6
FOCS,"IEEE Annual Symposium on Foundations of Computer Science","IEEE",http://dblp.uni-trier.de/db/conf/focs/,A,Conference,6
LICS,"ACM/IEEE Symposium on Logic in Computer Science","IEEE",http://dblp.uni-trier.de/db/conf/lics/,A,Conference,6
SoCG,"International Symposium on Computational Geometry","ACM",http://dblp.uni-trier.de/db/conf/compgeom/,B,Conference,6
ESA,"European Symposium on Algorithms","Springer",http://dblp.uni-trier.de/db/conf/esa/,B,Conference,6
CCC,"Conference on Computational Complexity","IEEE",http://dblp.uni-trier.de/db/conf/coco/,B,Conference,6
ICALP,"International Colloquium on Automata, Languages and Programming","Springer",http://dblp.uni-trier.de/db/conf/icalp/,B,Conference,6
,"International Conference on Automated Deduction/International Joint Conference on Automated Reasoning","Springer",http://dblp.uni-trier.de/db/conf/cade/,B,Conference,6
CONCUR,"International Conference on Concurrency Theory","Springer",http://dblp.uni-trier.de/db/conf/concur/,B,Conference,6
HSCC,"International Conference on Hybrid Systems: Computation and Control","Springer and ACM",http://dblp.uni-trier.de/db/conf/hybrid/,B,Conference,6
SAT,"International Conference on Theory and Applications of Satisfiability Testing","Springer",http://dblp.uni-trier.de/db/conf/sat/,B,Conference,6
COCOON,"International Computing and Combinatorics Conference","Springer",https://dblp.org/db/conf/cocoon/index.html,B,Conference,6
CSL,"Computer Science Logic","Springer",http://dblp.uni-trier.de/db/conf/csl/,C,Conference,6
FMCAD,"Formal Methods in Computer-Aided Design","ACM",http://dblp.uni-trier.de/db/conf/fmcad/,C,Conference,6
FSTTCS,"Foundations of Software Technology and Theoretical Computer Science","Indian Association for Research in Computing Science",http://dblp.uni-trier.de/db/conf/fsttcs/,C,Conference,6
DSAA,"IEEE International Conference on Data Science and Advanced Analytics","IEEE",https://dblp.uni-trier.de/db/conf/dsaa/,C,Conference,6
ICTAC,"International Colloquium on Theoretical Aspects of Computing","Springer",http://dblp.uni-trier.de/db/conf/ictac/,C,Conference,6
IPCO,"International Conference on Integer Programming and Combinatorial Optimization","Springer",http://dblp.uni-trier.de/db/conf/ipco/,C,Conference,6
RTA,"International Conference on Rewriting Techniques and Applications","Springer",http://dblp.uni-trier.de/db/conf/rta/,C,Conference,6
ISAAC,"International Symposium on Algorithms and Computation","Springer",http://dblp.uni-trier.de/db/conf/isaac/,C,Conference,6
MFCS,"International Conference on Mathematical Foundations of Computer Science","Springer",http://dblp.uni-trier.de/db/conf/mfcs/,C,Conference,6
STACS,"Symposium on Theoretical Aspects of Computer Science","Springer",http://dblp.uni-trier.de/db/conf/stacs/,C,Conference,6
SETTA,"International Symposium on Dependable Software Engineering: Theories, Tools, and Applications","Springer",https://dblp.org/db/conf/setta/index.html,C,Conference,6
TOG,"ACM Transactions on Graphics","ACM",http://dblp.uni-trier.de/db/journals/tog/,A,Journal,7
TIP,"IEEE Transactions on Image Processing","IEEE",http://dblp.uni-trier.de/db/journals/tip/,A,Journal,7
TVCG,"IEEE Transactions on Visualization and Computer Graphics","IEEE",http://dblp.uni-trier.de/db/journals/tvcg/,A,Journal,7
TOMM,"ACM Transactions on Multimedia Computing, Communications and Applications","ACM",http://dblp.uni-trier.de/db/journals/tomccap/,B,Journal,7
CAGD,"Computer Aided Geometric Design","Elsevier",http://dblp.uni-trier.de/db/journals/cagd/,B,Journal,7
CGF,"Computer Graphics Forum","Wiley",http://dblp.uni-trier.de/db/journals/cgf/,B,Journal,7
CAD,"Computer-Aided Design","Elsevier",http://dblp.uni-trier.de/db/journals/cad/,B,Journal,7
GM,"Graphical Models","Elsevier",http://dblp.uni-trier.de/db/journals/cvgip/,B,Journal,7
TCSVT,"IEEE Transactions on Circuits and Systems for Video Technology","IEEE",http://dblp.uni-trier.de/db/journals/tcsv/,B,Journal,7
TMM,"IEEE Transactions on Multimedia","IEEE",http://dblp.uni-trier.de/db/journals/tmm/,B,Journal,7
JASA,"The Journal of the Acoustical Society of America","AIP",http://scitation.aip.org/content/asa/journal/jasa,B,Journal,7
SIIMS,"SIAM Journal on Imaging Sciences","SIAM",http://dblp.uni-trier.de/db/journals/siamis/,B,Journal,7
SPECOM,"Speech Communication","Elsevier",http://dblp.uni-trier.de/db/journals/speech/,B,Journal,7
CGTA,"Computational Geometry: Theory and Applications","Elsevier",http://dblp.uni-trier.de/db/journals/comgeo/,C,Journal,7
CAVW,"computer animation & virtual worlds","Wiley",https://dblp.org/db/journals/jvca/index.html,C,Journal,7
C&G,"Computers & Graphics","Elsevier",http://dblp.uni-trier.de/db/journals/cg/,C,Journal,7
DCG,"Discrete & Computational Geometry","Springer",http://dblp.uni-trier.de/db/journals/dcg/,C,Journal,7
SPL,"IEEE Signal Processing Letters","IEEE",http://dblp.uni-trier.de/db/journals/spl/,C,Journal,7
IET-IPR,"IET Image Processing","IET",http://dblp.uni-trier.de/db/journals/iet-ipr/,C,Journal,7
JVCIR,"Journal of Visual Communication and Image Representation","Elsevier",http://dblp.uni-trier.de/db/journals/jvcir/,C,Journal,7
MS,"Multimedia Systems","Springer",http://dblp.uni-trier.de/db/journals/mms/,C,Journal,7
MTA,"Multimedia Tools and Applications","Springer",http://dblp.uni-trier.de/db/journals/mta/,C,Journal,7
SIGPRO,"Signal Processing","Elsevier",http://dblp.uni-trier.de/db/journals/sigpro/,C,Journal,7
IMAGE,"Signal Processing: Image Communication","Elsevier",http://dblp.uni-trier.de/db/journals/spic/,C,Journal,7
TVC,"The Visual Computer","Springer",http://dblp.uni-trier.de/db/journals/vc/,C,Journal,7
CVMJ,"Computational Visual Media","Tsinghua University; Springer",https://dblp.org/db/journals/cvm/index.html,C,Journal,7
ACM MM,"ACM International Conference on Multimedia","ACM",http://dblp.uni-trier.de/db/conf/mm/,A,Conference,7
SIGGRAPH,"ACM Special Interest Group on Computer Graphics","ACM",http://dblp.uni-trier.de/db/conf/siggraph/index.html,A,Conference,7
VR,"IEEE Virtual Reality","IEEE",http://dblp.uni-trier.de/db/conf/vr/,A,Conference,7
IEEE VIS,"IEEE Visualization Conference","IEEE",http://dblp.uni-trier.de/db/conf/visualization/index.html,A,Conference,7
